,day,time,room
697,Th,01:30PM - 02:50PM,"Rm 2405, Lift 17-18 (92)"
698,Tu,06:00PM - 06:50PM,"Rm 1011, LSK Bldg (80)"
699,We,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
700,Fr,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
701,Fr,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
702,We,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
703,Fr,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
704,Fr,03:00PM - 04:20PM,"Rm 4502, Lift 25-26 (60)"
705,Tu,10:30AM - 01:20PM,"Rm 6602, Lift 31-32 (60)"
706,We,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
707,Fr,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
708,Fr,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
709,We,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
710,Fr,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
711,Fr,01:30PM - 02:50PM,"Rm 6591, Lift 31-32 (88)"
712,Mo,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
713,We,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
714,We,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
715,Mo,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
716,We,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
717,We,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
718,Mo,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
719,We,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
720,We,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
721,Mo,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
722,We,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
723,We,09:00AM - 10:20AM,"Rm 2304, Lift 17-18 (76)"
724,Tu,04:30PM - 05:50PM,"Rm 2404, Lift 17-18 (81)"
725,Th,04:30PM - 05:50PM,"Rm 2404, Lift 17-18 (81)"
726,Tu,04:30PM - 05:50PM,"Rm 2404, Lift 17-18 (81)"
727,Th,04:30PM - 05:50PM,"Rm 2404, Lift 17-18 (81)"
728,Tu,09:00AM - 10:20AM,"Rm 2503, Lift 25-26 (87)"
729,Th,09:00AM - 10:20AM,"Rm 2503, Lift 25-26 (87)"
730,Tu,09:00AM - 10:20AM,"Rm 2503, Lift 25-26 (87)"
731,Th,09:00AM - 10:20AM,"Rm 2503, Lift 25-26 (87)"
732,Tu,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
733,Th,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
734,Tu,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
735,Th,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
736,We,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
737,Fr,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
738,Fr,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
739,We,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
740,Fr,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
741,Fr,03:00PM - 04:20PM,"G009A, CYT Bldg (80)"
742,Tu,07:30PM - 10:20PM,"Rm 4619, Lift 31-32 (126)"
743,Th,07:30PM - 10:20PM,"Rm 2464, Lift 25-26 (122)"
744,Tu,07:30PM - 10:20PM,Lecture Theater K (106)
745,Tu,03:00PM - 04:20PM,"Rm 4620, Lift 31-32 (126)"
746,Th,03:00PM - 04:20PM,"Rm 4620, Lift 31-32 (126)"
747,Tu,03:00PM - 04:20PM,"Rm 4620, Lift 31-32 (126)"
748,Th,03:00PM - 04:20PM,"Rm 4620, Lift 31-32 (126)"
749,Tu,09:00AM - 10:20AM,Lecture Theater J (300)
750,Th,09:00AM - 10:20AM,Lecture Theater J (300)
751,Tu,09:00AM - 10:20AM,Lecture Theater J (300)
752,Th,09:00AM - 10:20AM,Lecture Theater J (300)
753,Tu,10:30AM - 11:50AM,Lecture Theater J (300)
754,Th,10:30AM - 11:50AM,Lecture Theater J (300)
755,Tu,10:30AM - 11:50AM,Lecture Theater J (300)
756,Th,10:30AM - 11:50AM,Lecture Theater J (300)
757,Tu,06:00PM - 06:50PM,Lecture Theater J (300)
758,Tu,04:30PM - 05:50PM,"Rm 5619, Lift 31-32 (98)"
759,Th,04:30PM - 05:50PM,"Rm 5619, Lift 31-32 (98)"
760,Tu,04:30PM - 05:50PM,"Rm 5619, Lift 31-32 (98)"
761,Th,04:30PM - 05:50PM,"Rm 5619, Lift 31-32 (98)"
762,Tu,01:30PM - 02:50PM,"Rm 2407, Lift 17-18 (126)"
763,Th,01:30PM - 02:50PM,"Rm 2407, Lift 17-18 (126)"
764,Tu,01:30PM - 02:50PM,"Rm 2407, Lift 17-18 (126)"
765,Th,01:30PM - 02:50PM,"Rm 2407, Lift 17-18 (126)"
766,Mo,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
767,We,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
768,We,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
769,Mo,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
770,We,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
771,We,10:30AM - 11:50AM,"G010, CYT Bldg (140)"
772,Mo,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
773,We,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
774,We,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
775,Mo,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
776,We,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
777,We,09:00AM - 10:20AM,"G010, CYT Bldg (140)"
778,Tu,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
779,Th,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
780,Tu,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
781,Th,09:00AM - 10:20AM,"Rm 1034, LSK Bldg (80)"
782,We,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
783,Fr,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
784,Fr,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
785,We,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
786,Fr,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
787,Fr,04:30PM - 05:50PM,"Rm 1009, LSK Bldg (80)"
788,Th,06:00PM - 06:50PM,"Rm 5619, Lift 31-32 (98)"
789,Tu,12:00PM - 12:50PM,"Rm 1014, LSK Bldg (80)"
790,Tu,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
791,Th,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
792,Tu,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
793,Th,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
794,Tu,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
795,Th,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
796,Tu,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
797,Th,01:30PM - 02:50PM,"Rm 1011, LSK Bldg (80)"
798,We,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
799,Fr,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
800,Fr,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
801,We,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
802,Fr,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
803,Fr,04:30PM - 05:50PM,"Rm 1005, LSK Bldg (70)"
804,We,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
805,Fr,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
806,Fr,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
807,We,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
808,Fr,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
809,Fr,01:30PM - 02:50PM,"Rm 5619, Lift 31-32 (98)"
810,Tu,01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)"
811,Th,01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)"
812,Tu,01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)"
813,Th,01:30PM - 02:50PM,"Rm 1007, LSK Bldg (80)"
814,Tu,03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)"
815,Th,03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)"
816,Tu,03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)"
817,Th,03:00PM - 04:20PM,"Rm 1007, LSK Bldg (80)"
818,Mo,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
819,We,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
820,We,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
821,Mo,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
822,We,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
823,We,09:00AM - 10:20AM,"Rm 1032, LSK Bldg (45)"
