,day,time,room
907,Tu,12:00PM - 02:50PM,"Rm 2133, Lift 19, 21, 22"
908,Tu,10:30AM - 11:20AM,"Rm 2302, Lift 17-18 (74)"
909,Th,10:30AM - 11:20AM,"Rm 2302, Lift 17-18 (74)"
910,Tu,10:30AM - 11:20AM,"Rm 2302, Lift 17-18 (74)"
911,Th,10:30AM - 11:20AM,"Rm 2302, Lift 17-18 (74)"
912,Tu,12:00PM - 12:50PM,"Rm 2302, Lift 17-18 (74)"
913,Th,12:00PM - 12:50PM,"Rm 2302, Lift 17-18 (74)"
914,Tu,12:00PM - 12:50PM,"Rm 2302, Lift 17-18 (74)"
915,Th,12:00PM - 12:50PM,"Rm 2302, Lift 17-18 (74)"
916,We,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
917,Fr,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
918,Fr,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
919,We,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
920,Fr,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
921,Fr,02:00PM - 02:50PM,"Rm 2302, Lift 17-18 (74)"
922,Th,02:00PM - 04:50PM,"Rm 2133, Lift 19, 21, 22"
923,Tu,09:00AM - 11:50AM,"Rm 2133, Lift 19, 21, 22"
924,Tu,04:30PM - 05:20PM,"Rm 5506, Lift 25-26 (30)"
925,Tu,12:00PM - 12:50PM,"Rm 4225C, Lift 23, 24"
926,Th,03:00PM - 03:50PM,"Rm 4504, Lift 25-26 (54)"
927,Tu,03:30PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
928,Tu,06:00PM - 07:50PM,"Rm 3115, Lift 19, 22"
929,We,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
930,Fr,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
931,Fr,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
932,We,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
933,Fr,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
934,Fr,03:00PM - 04:20PM,"Rm 2502, Lift 25-26 (120)"
935,Th,10:30AM - 12:20PM,"Rm 4225C, Lift 23, 24"
936,Tu,05:00PM - 05:50PM,"Rm 1409, Lift 25-26 (60)"
937,Th,05:00PM - 07:50PM,"Rm 2133, Lift 19, 21, 22"
938,Tu,01:30PM - 02:50PM,"Rm 2464, Lift 25-26 (122)"
939,Th,01:30PM - 02:50PM,"Rm 2464, Lift 25-26 (122)"
940,Tu,01:30PM - 02:50PM,"Rm 2464, Lift 25-26 (122)"
941,Th,01:30PM - 02:50PM,"Rm 2464, Lift 25-26 (122)"
942,Tu,10:30AM - 11:20AM,"Rm 1410, Lift 25-26 (60)"
943,We,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
944,Fr,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
945,Fr,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
946,We,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
947,Fr,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
948,Fr,03:00PM - 04:20PM,"Rm 2504, Lift 25-26 (84)"
949,Th,06:00PM - 06:50PM,"Rm 4503, Lift 25-26 (64)"
950,Tu,09:00AM - 09:50AM,"Rm 4225C, Lift 23, 24"
951,Tu,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
952,Th,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
953,Tu,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
954,Th,12:00PM - 01:20PM,"Rm 2404, Lift 17-18 (81)"
955,Tu,01:30PM - 04:20PM,"Rm 3119, Lift 19, 22"
956,Tu,09:00AM - 11:50AM,"Rm 3119, Lift 19, 22"
957,Tu,06:00PM - 08:50PM,"Rm 3119, Lift 19, 22"
958,Tu,03:00PM - 04:20PM,"G010, CYT Bldg (140)"
959,Th,03:00PM - 04:20PM,"G010, CYT Bldg (140)"
960,Tu,03:00PM - 04:20PM,"G010, CYT Bldg (140)"
961,Th,03:00PM - 04:20PM,"G010, CYT Bldg (140)"
962,Th,04:30PM - 05:50PM,"Rm 2503, Lift 25-26 (87)"
963,Th,06:00PM - 07:50PM,"Rm 3115, Lift 19, 22"
964,Tu,10:30AM - 12:20PM,"Rm 3115, Lift 19, 22"
965,Tu,09:00AM - 10:20AM,Lecture Theater K (106)
966,Th,09:00AM - 10:20AM,Lecture Theater K (106)
967,Tu,09:00AM - 10:20AM,Lecture Theater K (106)
968,Th,09:00AM - 10:20AM,Lecture Theater K (106)
969,Tu,06:00PM - 06:50PM,"Rm 1409, Lift 25-26 (60)"
970,Th,01:00PM - 01:50PM,"Rm 4502, Lift 25-26 (60)"
971,Mo,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
972,We,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
973,We,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
974,Mo,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
975,We,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
976,We,12:00PM - 01:20PM,"Rm 5562, Lift 27-28 (30)"
977,We,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
978,Fr,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
979,Fr,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
980,We,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
981,Fr,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
982,Fr,01:30PM - 02:50PM,"Rm 2504, Lift 25-26 (84)"
983,Tu,06:00PM - 06:50PM,"Rm 1034, LSK Bldg (80)"
984,Tu,09:00AM - 10:50AM,"Rm 3121, Lift 19, 22"
985,Mo,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
986,We,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
987,We,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
988,Mo,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
989,We,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
990,We,10:30AM - 11:50AM,"G002, CYT Bldg (30)"
991,Tu,06:00PM - 06:50PM,"Rm 1011, LSK Bldg (80)"
992,Tu,09:00AM - 10:20AM,"Rm 5560, Lift 27-28 (30)"
993,Th,09:00AM - 10:20AM,"Rm 5560, Lift 27-28 (30)"
994,Tu,09:00AM - 10:20AM,"Rm 5560, Lift 27-28 (30)"
995,Th,09:00AM - 10:20AM,"Rm 5560, Lift 27-28 (30)"
996,Th,10:30AM - 12:20PM,"Rm 6602, Lift 31-32 (60)"
997,Tu,12:00PM - 02:50PM,"Rm 3111, Lift 19, 22"
998,Tu,09:00AM - 10:20AM,"G002, CYT Bldg (30)"
999,Th,09:00AM - 10:20AM,"G002, CYT Bldg (30)"
1000,Tu,09:00AM - 10:20AM,"G002, CYT Bldg (30)"
1001,Th,09:00AM - 10:20AM,"G002, CYT Bldg (30)"
1002,Tu,12:30PM - 01:20PM,"Rm 3494, Lift 25-26 (20)"
1003,We,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1004,Fr,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1005,Fr,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1006,We,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1007,Fr,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1008,Fr,04:30PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1009,Tu,07:00PM - 08:50PM,"Rm 3121, Lift 19, 22"
1010,We,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1011,Fr,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1012,Fr,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1013,We,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1014,Fr,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1015,Fr,03:00PM - 04:20PM,"Rm 4503, Lift 25-26 (64)"
1016,Tu,04:30PM - 07:20PM,"Rm 5508, Lift 25-26 (30)"
1017,Tu,03:00PM - 05:50PM,"G002, CYT Bldg (30)"
1018,Tu,06:30PM - 09:20PM,"Rm 2610, Lift 31-32 (26)"
1019,Tu,01:30PM - 04:20PM,"G001, CYT Bldg (24)"
1020,Th,01:30PM - 04:20PM,"Rm 2014, CYT Bldg"
1021,Tu,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
1022,Th,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
1023,Tu,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
1024,Th,12:00PM - 01:20PM,"Rm 6591, Lift 31-32 (88)"
1025,Th,11:00AM - 11:50AM,"Rm 1410, Lift 25-26 (60)"
1026,Tu,10:30AM - 11:50AM,"Rm 4503, Lift 25-26 (64)"
1027,Th,10:30AM - 11:50AM,"Rm 4503, Lift 25-26 (64)"
1028,Tu,10:30AM - 11:50AM,"Rm 4503, Lift 25-26 (64)"
1029,Th,10:30AM - 11:50AM,"Rm 4503, Lift 25-26 (64)"
1030,Th,09:00AM - 10:20AM,"Rm 4582, Lift 27-28 (66)"
1031,Th,01:30PM - 02:50PM,"Rm 4582, Lift 27-28 (66)"
1032,Th,06:00PM - 08:50PM,"Rm 5506, Lift 25-26 (30)"
1033,We,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1034,Fr,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1035,Fr,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1036,We,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1037,Fr,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1038,Fr,03:00PM - 04:20PM,"Rm 5564, Lift 27-28 (30)"
1039,Th,02:00PM - 04:50PM,TBA
1040,Tu,06:00PM - 07:20PM,"G001, CYT Bldg (24)"
1041,Tu,09:00AM - 10:20AM,"Rm 2464, Lift 25-26 (122)"
1042,Th,09:00AM - 10:20AM,"Rm 2464, Lift 25-26 (122)"
1043,Tu,09:00AM - 10:20AM,"Rm 2464, Lift 25-26 (122)"
1044,Th,09:00AM - 10:20AM,"Rm 2464, Lift 25-26 (122)"
1045,Tu,12:00PM - 01:20PM,"Rm 5620, Lift 31-32 (70)"
1046,Th,12:00PM - 01:20PM,"Rm 5620, Lift 31-32 (70)"
1047,Tu,12:00PM - 01:20PM,"Rm 5620, Lift 31-32 (70)"
1048,Th,12:00PM - 01:20PM,"Rm 5620, Lift 31-32 (70)"
1049,Tu,10:30AM - 11:50AM,Lecture Theater F (134)
1050,Th,10:30AM - 11:50AM,Lecture Theater F (134)
1051,Tu,10:30AM - 11:50AM,Lecture Theater F (134)
1052,Th,10:30AM - 11:50AM,Lecture Theater F (134)
1053,Tu,06:00PM - 07:20PM,"G010, CYT Bldg (140)"
1054,Tu,09:00AM - 10:20AM,"Rm 1410, Lift 25-26 (60)"
1055,Th,09:00AM - 10:20AM,"Rm 1410, Lift 25-26 (60)"
1056,Tu,09:00AM - 10:20AM,"Rm 1410, Lift 25-26 (60)"
1057,Th,09:00AM - 10:20AM,"Rm 1410, Lift 25-26 (60)"
1058,Tu,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
1059,Th,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
1060,Tu,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
1061,Th,10:30AM - 11:50AM,"Rm 4619, Lift 31-32 (126)"
1062,Tu,06:00PM - 07:20PM,"G010, CYT Bldg (140)"
1063,We,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1064,Fr,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1065,Fr,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1066,We,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1067,Fr,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1068,Fr,04:30PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1069,Th,07:00PM - 08:50PM,"Rm 2126A, Lift 19 (28)"
1070,Tu,09:00AM - 10:20AM,"Rm 4504, Lift 25-26 (54)"
1071,Th,09:00AM - 10:20AM,"Rm 4504, Lift 25-26 (54)"
1072,Tu,09:00AM - 10:20AM,"Rm 4504, Lift 25-26 (54)"
1073,Th,09:00AM - 10:20AM,"Rm 4504, Lift 25-26 (54)"
1074,Mo,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1075,We,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1076,We,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1077,Mo,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1078,We,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1079,We,10:30AM - 11:50AM,"Rm 4502, Lift 25-26 (60)"
1080,Tu,03:00PM - 04:20PM,Lecture Theater H (69)
1081,Th,03:00PM - 04:20PM,Lecture Theater H (69)
1082,Tu,03:00PM - 04:20PM,Lecture Theater H (69)
1083,Th,03:00PM - 04:20PM,Lecture Theater H (69)
1084,Tu,06:00PM - 07:20PM,"G010, CYT Bldg (140)"
1085,Tu,10:30AM - 11:50AM,"Rm 4582, Lift 27-28 (66)"
1086,Th,10:30AM - 11:50AM,"Rm 4582, Lift 27-28 (66)"
1087,Tu,10:30AM - 11:50AM,"Rm 4582, Lift 27-28 (66)"
1088,Th,10:30AM - 11:50AM,"Rm 4582, Lift 27-28 (66)"
1089,Th,07:00PM - 09:50PM,"Rm 4578, Lift 27-28"
1090,Th,04:00PM - 05:50PM,"Rm 2406, Lift 17-18 (76)"
1091,Tu,07:00PM - 09:50PM,"Rm 1033, LSK Bldg (50)"
1092,Tu,10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)"
1093,Th,10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)"
1094,Tu,10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)"
1095,Th,10:30AM - 11:50AM,"Rm 4620, Lift 31-32 (126)"
1096,We,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1097,Fr,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1098,Fr,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1099,We,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1100,Fr,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1101,Fr,03:00PM - 04:20PM,"Rm 2463, Lift 25-26 (42)"
1102,Tu,06:30PM - 09:20PM,"Rm 2404, Lift 17-18 (81)"
1103,Th,06:30PM - 09:20PM,"Rm 1410, Lift 25-26 (60)"
1104,Th,05:00PM - 05:50PM,"Rm 4502, Lift 25-26 (60)"
1105,Tu,01:30PM - 02:50PM,Lecture Theater D (216)
1106,Th,01:30PM - 02:50PM,Lecture Theater D (216)
1107,Tu,01:30PM - 02:50PM,Lecture Theater D (216)
1108,Th,01:30PM - 02:50PM,Lecture Theater D (216)
1109,Tu,12:00PM - 01:20PM,"Rm 2465, Lift 25-26 (122)"
1110,Th,12:00PM - 01:20PM,"Rm 2465, Lift 25-26 (122)"
1111,Tu,12:00PM - 01:20PM,"Rm 2465, Lift 25-26 (122)"
1112,Th,12:00PM - 01:20PM,"Rm 2465, Lift 25-26 (122)"
1113,Tu,03:00PM - 04:20PM,"G012, LSK Bldg (199)"
1114,Th,03:00PM - 04:20PM,"G012, LSK Bldg (199)"
1115,Tu,03:00PM - 04:20PM,"G012, LSK Bldg (199)"
1116,Th,03:00PM - 04:20PM,"G012, LSK Bldg (199)"
1117,Mo,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1118,We,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1119,We,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1120,Mo,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1121,We,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1122,We,12:00PM - 01:20PM,"G012, LSK Bldg (199)"
1123,We,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1124,Fr,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1125,Fr,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1126,We,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1127,Fr,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1128,Fr,01:30PM - 02:50PM,"Rm 1034, LSK Bldg (80)"
1129,We,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1130,Fr,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1131,Fr,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1132,We,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1133,Fr,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1134,Fr,03:00PM - 04:20PM,"Rm 1034, LSK Bldg (80)"
1135,We,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1136,Fr,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1137,Fr,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1138,We,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1139,Fr,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1140,Fr,04:30PM - 05:50PM,"Rm 1034, LSK Bldg (80)"
1141,We,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1142,Fr,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1143,Fr,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1144,We,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1145,Fr,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1146,Fr,03:00PM - 04:20PM,"Rm 2406, Lift 17-18 (76)"
1147,We,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1148,Fr,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1149,Fr,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1150,We,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1151,Fr,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1152,Fr,01:30PM - 02:50PM,"Rm 1009, LSK Bldg (80)"
1153,We,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1154,Fr,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1155,Fr,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1156,We,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1157,Fr,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1158,Fr,03:00PM - 04:20PM,"Rm 1009, LSK Bldg (80)"
1159,Mo,10:30AM - 11:50AM,Lecture Theater K (106)
1160,We,10:30AM - 11:50AM,Lecture Theater K (106)
1161,We,10:30AM - 11:50AM,Lecture Theater K (106)
1162,Mo,10:30AM - 11:50AM,Lecture Theater K (106)
1163,We,10:30AM - 11:50AM,Lecture Theater K (106)
1164,We,10:30AM - 11:50AM,Lecture Theater K (106)
1165,Mo,12:00PM - 01:20PM,Lecture Theater K (106)
1166,We,12:00PM - 01:20PM,Lecture Theater K (106)
1167,We,12:00PM - 01:20PM,Lecture Theater K (106)
1168,Mo,12:00PM - 01:20PM,Lecture Theater K (106)
1169,We,12:00PM - 01:20PM,Lecture Theater K (106)
1170,We,12:00PM - 01:20PM,Lecture Theater K (106)
1171,Mo,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1172,We,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1173,We,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1174,Mo,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1175,We,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1176,We,10:30AM - 11:50AM,"Rm 1007, LSK Bldg (80)"
1177,We,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1178,Fr,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1179,Fr,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1180,We,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1181,Fr,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1182,Fr,01:30PM - 02:50PM,"Rm 1014, LSK Bldg (80)"
1183,We,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1184,Fr,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1185,Fr,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1186,We,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1187,Fr,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1188,Fr,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1189,Mo,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1190,We,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1191,We,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1192,Mo,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1193,We,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1194,We,09:00AM - 10:20AM,"Rm 1007, LSK Bldg (80)"
1195,Mo,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1196,We,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1197,We,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1198,Mo,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1199,We,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1200,We,12:00PM - 01:20PM,"Rm 1007, LSK Bldg (80)"
1201,Tu,07:00PM - 10:20PM,TBA
1202,Th,07:00PM - 10:20PM,TBA
1203,Mo,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1204,We,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1205,We,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1206,Mo,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1207,We,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1208,We,09:30AM - 12:50PM,"Rm 5583, Lift 29-30 (80)"
1209,Th,07:00PM - 10:20PM,TBA
1210,Tu,09:30AM - 12:50PM,"G009, LSK Bldg"
1211,Tu,02:00PM - 05:20PM,"G009, LSK Bldg"
1212,Th,07:00PM - 10:20PM,TBA
1213,Th,02:00PM - 05:20PM,"Rm 2001, LSK Bldg"
1214,Th,09:00AM - 11:50AM,"G001, CYT Bldg (24)"
1215,Tu,11:00AM - 01:50PM,"Rm 5047, LSK Bldg"
1216,Tu,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1217,Th,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1218,Tu,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1219,Th,04:30PM - 05:50PM,"Rm 1003, LSK Bldg (70)"
1220,Tu,02:30PM - 04:20PM,"G009A, CYT Bldg (80)"
1221,Tu,10:00AM - 11:50AM,"G009A, CYT Bldg (80)"
1222,Th,02:30PM - 04:20PM,"G001, CYT Bldg (24)"
1223,Th,10:30AM - 01:20PM,LG5 Multi-function Room
1224,Th,01:00PM - 02:50PM,"Rm 5504, Lift 25-26 (24)"
1225,Th,01:00PM - 02:50PM,TBA
1226,Th,09:00AM - 10:50AM,"Rm 5504, Lift 25-26 (24)"
1227,Th,09:00AM - 10:50AM,TBA
1228,Tu,03:00PM - 04:50PM,"Rm 5504, Lift 25-26 (24)"
1229,Tu,03:00PM - 04:50PM,TBA
1230,Th,11:00AM - 12:50PM,"Rm 3494, Lift 25-26 (20)"
1231,Th,11:00AM - 12:50PM,TBA
1232,Th,04:30PM - 06:20PM,"Rm 3494, Lift 25-26 (20)"
1233,Th,04:30PM - 06:20PM,TBA
1234,Tu,01:00PM - 02:50PM,"Rm 5504, Lift 25-26 (24)"
1235,Tu,01:00PM - 02:50PM,TBA
1236,Tu,11:00AM - 12:50PM,"Rm 5504, Lift 25-26 (24)"
1237,Tu,11:00AM - 12:50PM,TBA
1238,Tu,09:00AM - 10:50AM,"Rm 5504, Lift 25-26 (24)"
1239,Tu,09:00AM - 10:50AM,TBA
1240,Tu,04:30PM - 06:20PM,"Rm 3494, Lift 25-26 (20)"
1241,Tu,04:30PM - 06:20PM,TBA
1242,Th,01:30PM - 03:20PM,"Rm 3494, Lift 25-26 (20)"
1243,Th,01:30PM - 03:20PM,TBA
1244,Th,11:00AM - 12:50PM,"Rm 5504, Lift 25-26 (24)"
1245,Th,11:00AM - 12:50PM,TBA
1246,Tu,05:00PM - 06:50PM,"Rm 5504, Lift 25-26 (24)"
1247,Tu,05:00PM - 06:50PM,TBA
1248,Th,03:00PM - 04:50PM,"Rm 5504, Lift 25-26 (24)"
1249,Th,03:00PM - 04:50PM,TBA
1250,Th,05:00PM - 06:50PM,"Rm 5504, Lift 25-26 (24)"
1251,Th,05:00PM - 06:50PM,TBA
1252,Tu,10:30AM - 12:20PM,"Rm 3494, Lift 25-26 (20)"
1253,Tu,10:30AM - 12:20PM,TBA
1254,Th,04:30PM - 06:20PM,"Rm 1410, Lift 25-26 (60)"
1255,Th,04:30PM - 06:20PM,TBA
1256,Mo,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1257,We,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1258,We,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1259,Mo,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1260,We,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1261,We,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1262,Tu,12:00PM - 01:20PM,"LTL, CYT Bldg (354)"
1263,Th,12:00PM - 01:20PM,"LTL, CYT Bldg (354)"
1264,Tu,12:00PM - 01:20PM,"LTL, CYT Bldg (354)"
1265,Th,12:00PM - 01:20PM,"LTL, CYT Bldg (354)"
1266,Tu,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1267,Th,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1268,Tu,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1269,Th,09:00AM - 10:20AM,"LTL, CYT Bldg (354)"
1270,Tu,06:00PM - 06:50PM,"Rm 4502, Lift 25-26 (60)"
1271,Tu,10:30AM - 11:50AM,"Rm 6591, Lift 31-32 (88)"
1272,Th,10:30AM - 11:50AM,"Rm 6591, Lift 31-32 (88)"
1273,Tu,10:30AM - 11:50AM,"Rm 6591, Lift 31-32 (88)"
1274,Th,10:30AM - 11:50AM,"Rm 6591, Lift 31-32 (88)"
1275,Mo,12:00PM - 01:20PM,Lecture Theater E (143)
1276,We,12:00PM - 01:20PM,Lecture Theater E (143)
1277,We,12:00PM - 01:20PM,Lecture Theater E (143)
1278,Mo,12:00PM - 01:20PM,Lecture Theater E (143)
1279,We,12:00PM - 01:20PM,Lecture Theater E (143)
1280,We,12:00PM - 01:20PM,Lecture Theater E (143)
1281,Th,02:00PM - 02:50PM,"G005, CYT Bldg (30)"
